gameid,cid,cdate
159,1153,2019-04-13 22:05:00
73,1119,2019-04-06 19:35:00
143,1144,2019-03-31 22:05:00
613,-1,2019-03-31 11:30
272,1143,2019-03-31 01:10:00
88,1140,2019-03-22 23:05:00
87,1139,2019-03-21 23:35:00
72,1141,2019-03-19 22:35:00
271,1136,2019-03-12 00:35:00
158,1138,2019-03-08 17:05:00
86,1133,2019-03-07 23:05:00
157,1132,2019-03-05 23:05:00
156,1130,2019-02-24 23:35:00
133,1131,2019-02-23 18:20:00
71,1118,2019-02-19 22:35:00
103,1117,2019-02-18 23:40:00
144,1113,2019-02-17 00:35:00
70,1114,2019-02-10 22:05:00
117,1110,2019-02-07 21:35:00
155,1111,2019-02-03 23:35:00
335,-1,2019-02-02 13:00
336,-1,2019-01-31 13:00
337,-1,2019-01-29 13:00
154,1107,2019-01-26 23:35:00
338,-1,2019-01-26 13:00
339,-1,2019-01-24 13:00
69,1108,2019-01-23 22:35:00
138,1104,2019-01-22 22:35:00
340,-1,2019-01-22 14:00
153,1105,2019-01-20 20:05:00
142,1102,2019-01-09 22:35:00
152,1099,2019-01-06 00:35:00
268,1097,2019-01-04 22:45:00
332,-1,2018-12-30 12:30
68,1096,2018-12-28 22:35:00
151,1095,2018-12-27 22:35:00
345,-1,2018-12-26 09:00
216,1087,2018-12-23 21:35:00
330,-1,2018-12-22 19:00
67,1092,2018-12-18 22:35:00
85,1081,2018-12-16 22:35:00
66,1093,2018-12-15 22:35:00
84,1084,2018-12-11 00:35:00
341,-1,2018-12-07 19:00
316,-1,2018-12-05 12:00
317,-1,2018-12-05 12:00
312,-1,2018-12-05 08:00
150,1088,2018-12-04 22:35:00
346,-1,2018-12-04 09:00
313,-1,2018-12-04 08:00
347,-1,2018-12-01 13:00
614,-1,2018-12-01 13:00
137,1082,2018-11-28 22:35:00
136,1080,2018-11-24 15:35:00
149,1061,2018-11-22 23:45:00
135,1077,2018-11-16 22:35:00
215,1062,2018-11-14 23:35:00
134,1076,2018-11-12 22:35:00
355,-1,2018-11-01 19:00
148,1043,2018-10-28 23:35:00
147,1073,2018-10-25 22:35:00
226,1066,2018-10-12 22:35:00
254,1060,2018-10-04 15:05:00
348,-1,2018-10-01 12:00
253,1058,2018-09-23 21:05:00
243,1038,2018-09-06 23:35:00
242,1040,2018-09-06 00:35:00
241,1027,2018-08-18 22:35:00
247,1020,2018-08-11 21:35:00
440,-1,2018-08-04 12:00
240,1016,2018-08-03 22:45:00
441,-1,2018-08-02 12:00
239,1015,2018-07-31 22:35:00
442,-1,2018-07-28 12:00
619,-1,2018-07-27 19:00
238,1011,2018-07-26 23:05:00
443,-1,2018-07-26 12:00
444,-1,2018-07-21 12:00
237,1006,2018-07-16 22:35:00
214,1009,2018-07-14 22:35:00
236,1005,2018-07-09 23:35:00
213,986,2018-05-29 23:35:00
267,984,2018-05-15 22:45:00
266,979,2018-05-14 22:35:00
265,980,2018-05-08 23:05:00
445,-1,2018-05-05 13:00
620,-1,2018-05-04 19:00
264,975,2018-05-01 22:05:00
263,976,2018-04-30 22:40:00
262,967,2018-04-29 21:15:00
446,-1,2018-04-28 12:00
447,-1,2018-04-26 18:00
621,-1,2018-04-20 19:00
261,964,2018-04-17 22:05:00
448,-1,2018-04-14 13:00
449,-1,2018-04-14 12:00
450,-1,2018-04-13 19:00
396,1237,2018-04-09 22:00:00
451,-1,2018-04-07 13:00
452,-1,2018-04-06 19:00
622,-1,2018-04-05 09:00
235,961,2018-04-04 22:05:00
260,959,2018-04-04 00:05:00
453,-1,2018-03-24 13:00
623,-1,2018-03-23 19:00
360,-1,2018-03-17 19:00
361,-1,2018-03-09 19:00
259,950,2018-03-09 16:10:00
234,946,2018-03-06 23:05:00
233,931,2018-03-04 23:35:00
624,-1,2018-03-02 19:00
232,937,2018-02-26 00:05:00
615,-1,2018-02-25 14:00
231,940,2018-02-24 17:35:00
625,-1,2018-02-23 19:00
223,935,2018-02-20 00:35:00
225,939,2018-02-17 18:05:00
224,938,2018-02-16 23:05:00
246,932,2018-02-15 22:35:00
212,933,2018-02-14 20:05:00
245,934,2018-02-14 20:05:00
454,-1,2018-02-11 14:00
616,-1,2018-02-09 19:00
244,922,2018-02-08 01:15:00
617,-1,2018-02-07 13:00
455,-1,2018-02-04 14:00
211,920,2018-02-02 22:35:00
626,-1,2018-02-02 19:00
210,919,2018-01-31 21:05:00
456,-1,2018-01-28 14:00
457,-1,2018-01-21 14:00
209,914,2018-01-20 23:35:00
627,-1,2018-01-19 19:00
198,915,2018-01-13 21:05:00
628,-1,2018-01-12 19:00
618,-1,2017-12-30 12:30
208,908,2017-12-29 23:40:00
252,911,2017-12-28 22:05:00
230,909,2017-12-28 00:35:00
229,907,2017-12-23 22:05:00
258,902,2017-12-19 23:35:00
458,-1,2017-12-19 18:00
257,898,2017-12-16 19:35:00
629,-1,2017-12-16 18:00
459,-1,2017-12-16 00:00
460,-1,2017-12-15 19:00
228,903,2017-12-12 23:05:00
256,900,2017-12-12 00:05:00
461,-1,2017-12-10 13:00
630,-1,2017-12-08 00:00
207,896,2017-12-02 22:05:00
251,897,2017-12-02 22:05:00
255,895,2017-11-27 00:05:00
197,893,2017-11-23 23:05:00
222,894,2017-11-19 21:55:00
221,892,2017-11-17 22:35:00
206,878,2017-10-26 22:45:00
220,879,2017-10-26 22:45:00
205,877,2017-10-23 23:45:00
204,875,2017-10-16 19:05:00
219,876,2017-10-16 19:05:00
203,871,2017-10-15 16:05:00
218,872,2017-10-15 16:05:00
250,869,2017-10-06 21:35:00
202,866,2017-10-01 01:05:00
249,864,2017-09-25 18:35:00
201,853,2017-09-06 20:55:00
248,854,2017-09-06 20:55:00
196,851,2017-09-04 22:35:00
200,849,2017-09-01 21:35:00
199,842,2017-08-29 23:05:00
195,816,2017-06-17 22:35:00
194,814,2017-06-07 20:15:00
193,812,2017-06-01 22:15:00
192,811,2017-05-27 17:35:00
191,805,2017-05-04 22:50:00
190,798,2017-04-21 22:35:00
189,789,2017-03-30 00:05:00
188,787,2017-03-23 23:05:00
187,791,2017-03-18 23:35:00
186,785,2017-03-15 23:05:00
185,782,2017-03-05 21:05:00
184,779,2017-02-26 16:05:00
183,777,2017-02-24 18:05:00
182,776,2017-02-23 22:45:00
181,768,2017-02-21 00:05:00
180,766,2017-02-08 01:05:00
179,764,2017-02-02 21:35:00
178,758,2017-01-19 23:05:00
177,721,2016-09-30 22:05:00
176,608,2015-12-24 00:35:00
175,606,2015-12-10 00:05:00
174,567,2015-08-06 00:00:00
173,520,2015-03-02 15:00:00
172,519,2015-02-28 21:00:00
171,500,2014-12-30 23:00:00
287,463,2014-08-30 15:30:00
286,462,2014-08-26 22:00:00
285,460,2014-08-20 23:30:00
284,459,2014-08-15 23:30:00
283,456,2014-08-08 23:30:00
282,454,2014-08-01 23:30:00
281,451,2014-07-24 23:30:00
280,450,2014-07-19 21:00:00
279,448,2014-07-17 22:00:00
278,430,2014-05-11 23:40:00
277,426,2014-04-27 23:30:00
276,424,2014-04-25 15:00:00
275,416,2014-04-13 16:00:00
274,405,2014-03-22 23:30:00
273,401,2014-03-10 23:30:00
